Labels,7-day  Performance,30-day  Performance,60-day  Performance,90-day  Performance,2017 - Present Performance,2016 - Present Performance,2015 - Present Performance,2014 - Present Performance,2013 - Present Performance,2012 - Present Performance,2011 - Present Performance,July 2010 - Present Performance
From Date,2018-04-11,2018-03-19,2018-02-17,2018-01-18,2017-01-01,2016-01-01,2015-01-01,2014-01-01,2013-01-01,2012-01-01,2011-01-01,2010-07-18
Starting Price USD,"$6,939.55","$8,594.19","$11,092.15","$11,250.65",$997.69,$434.46,$313.92,$770.44,$13.30,$5.27,$0.30,$0.09
% Change,18%,-5%,-26%,-27%,718%,"1,779%","2,501%",960%,"61,262%","154,876%","2,721,130%","9,514,690%"
Doubling in months,1.0,-13.5,-4.5,-6.5,5.2,6.6,8.5,15.3,7.0,7.2,6.0,5.7
Doubling Period in Days,30,-405,-136,-195,156,198,256,460,209,217,181,171
Days in period,7,30,60,90,472,838,1203,1568,1933,2299,2664,2831
Compounding Daily Periodic Rate,2.3480%,-0.1712%,-0.5096%,-0.3557%,0.4463%,0.3507%,0.2712%,0.1507%,0.3326%,0.3200%,0.3840%,0.4057%
Daily Periodic Rate,2.5200%,-0.1670%,-0.4400%,-0.3049%,1.5217%,2.1229%,2.0786%,0.6120%,31.6928%,67.3668%,1021.4452%,3360.8938%
Annual Rate of Investment,920%,-61%,-161%,-111%,555%,775%,759%,223%,"11,568%","24,589%","372,827%","1,226,726%"
"Over $10,000.00 on",2018-04-26,Never!!!,Never!!!,Never!!!,2018-06-01,2018-06-13,2018-06-30,2018-08-29,2018-06-14,2018-06-16,2018-06-04,2018-06-01
"Over $20,000.00 on",2018-05-26,Never!!!,Never!!!,Never!!!,2018-11-03,2018-12-28,2019-03-12,2019-12-02,2019-01-09,2019-01-19,2018-12-02,2018-11-19
"Over $25,190.00 on",2018-06-04,Never!!!,Never!!!,Never!!!,2018-12-25,2019-03-03,2019-06-05,2020-05-03,2019-03-19,2019-04-01,2019-01-31,2019-01-14
"Over $31,622.78 on",2018-06-14,Never!!!,Never!!!,Never!!!,2019-02-14,2019-05-07,2019-08-28,2020-10-01,2019-05-26,2019-06-11,2019-03-31,2019-03-12
"Over $56,234.13 on",2018-07-09,Never!!!,Never!!!,Never!!!,2019-06-23,2019-10-18,2020-03-27,2021-10-18,2019-11-15,2019-12-08,2019-08-28,2019-07-31
"Over $100,000.00 on",2018-08-02,Never!!!,Never!!!,Never!!!,2019-10-30,2020-03-31,2020-10-26,2022-11-04,2020-05-06,2020-06-05,2020-01-25,2019-12-20
"Over $1,000,000.00 on",2018-11-09,Never!!!,Never!!!,Never!!!,2021-03-29,2022-01-16,2023-02-22,2027-01-11,2022-03-30,2022-05-25,2021-09-15,2021-07-10
/u/nannal 's  A+ on,2018-09-19,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!,NEVER!!!
