date,violet,blue,green,lightGreen,yellow,lightOrange,orange,lightRed,red,uv
2017-01-02,558.129921841146,729.1291486151534,952.5189289377859,1244.350622531031,1625.5933869157777,2123.6408868501294,2774.27962773526,3624.2603448282835,4734.657211831814,6185.256240087552
2017-02-01,637.9080240424149,833.3495773358694,1088.6702970829795,1422.2158959265466,1857.9528256128935,2427.1903528078838,3170.8302425925576,4142.305697494416,5411.420725401331,7069.365808761038
2017-03-03,729.089466831196,952.4670894928462,1244.282900574414,1625.5049163811614,2123.525310811186,2774.1286416376197,3624.0630997774147,4734.399535060904,6184.919616593203,8079.848432822921
2017-04-02,833.3042235080165,1088.611047799623,1422.1384939134325,1857.8517092568006,2427.058256534697,3170.657674809619,4142.080258585429,5411.126216769305,7068.981068900791,9234.767652918008
2017-05-02,952.4152528691926,1244.2151823034656,1625.4164506614245,2123.409741062299,2773.977663757176,3623.8658654613173,4734.141872313672,6184.58301141909,8079.408698928686,10554.7689801881
2017-06-01,1088.5518017408217,1422.061096112809,1857.7505984038169,2426.9261674506565,3170.4851164184292,4141.854831945626,5410.831724165481,7068.596349979449,9234.26506424,12063.448958560393
2017-07-01,1244.1474677179842,1625.327989756304,2123.2941776031257,2773.826694093482,3623.668641879409,4733.884223589358,6184.24642456422,8078.968988966323,10554.194552374882,13787.776980145549
2017-07-31,1421.983702524448,1857.6494930536433,2426.7940855553707,3170.3125674184766,4141.629417574336,5410.537247588984,7068.211651995869,9233.762502914644,12062.792423053257,15758.577394181453
2017-08-30,1625.2395336655386,2123.178620433324,2773.6757326460897,3623.4714290311035,4733.626588887198,6183.909856027597,8078.529302934531,10553.620155824055,13787.026600616193,18011.080527775197
2017-09-29,1857.548393205979,2426.6620108484467,3170.1400278092487,4141.404015470891,5410.242787038943,7067.826974948911,9233.259968940449,12062.1359232771,15757.719756731598,20585.552468573776
2017-10-29,2123.0630695525515,2773.524779414553,3623.274226915818,4733.368968206427,6183.573305808222,8078.089640832006,10553.045790533919,13786.27626192514,18010.100301147722,23528.014867453883
2017-11-28,2426.5299433294963,3169.967497590237,4141.178625634626,5409.9483425144845,7067.4423188374385,9232.757462315929,12061.479459229982,15756.862165957407,20584.43213008882,26891.067628532954
